Scenario;IdBar;attVector;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
10;S;Alpha;-0.223466281;-0.212159681;-0.071903967;0.062553318;0.325825163;0.362640741;0.456686898;0.474815983;0.360154626;0.170102881;-0.044850523;-0.245677362;-0.205672764;-0.249067982;-0.231769737;-0.073312102;-0.029943355;0.080252137;0.177729604;0.194563934;0.354952941;0.208678363;0.67332;0.412666667
11;S;Alpha;0.045412332;0.086520293;0.004902575;-0.090433259;-0.119888889;-0.025784259;0.003912331;-0.088838065;0.003228137;0.177304527;0.040563528;-0.218948307;-0.13274187;-0.11633114;-0.175223684;-0.287178344;-0.293779957;-0.181068376;-0.341356643;-0.437514754;-0.443517647;-0.549649123;-0.4731;-1.35747619
12;S;Alpha;0.03271034;-0.058974052;0.092767571;-0.001090977;0.054806372;0.011646296;0.051976879;0.10102103;0.076671736;0.24038546;0.215452915;0.315819964;0.328607723;0.247370614;0.193546052;0.030607219;0.04756427;-0.063393162;-0.263794872;-0.238101639;-0.089258824;0.561403509;0.39;-0.261904762
13;S;Alpha;-0.126552344;-0.15661344;-0.230567154;-0.364160328;-0.375789216;-0.521912963;-0.371960501;-0.189559411;-0.262253485;-0.197821673;-0.081466368;0.185242424;0.089686992;0.009265351;-0.00218421;0.122481953;0.097936819;0.138521368;0.206065268;0.185570492;0.432058824;0.361988304;0.699;1
14;S;Alpha;-0.020727681;0.02837525;0.093597773;0.086929903;0.119490196;0.144583333;0.251746628;0.218447949;0.140749049;0.084835391;-0.004599402;0.065008913;-0.087461382;0.040554824;-0.065203947;-0.121972399;-0.016228758;0.052435897;0.029265734;-0.038062295;0.140535294;0.64928655;0.54028;0.095904762
15;S;Alpha;-0.029468208;-0.017683965;-0.056662491;-0.222223714;-0.273383987;-0.341201852;-0.393916185;-0.401618297;-0.475888466;-0.471290809;-0.229339313;-0.314484848;-0.105640244;-0.144822369;-0.074859649;0.072316348;-0.044385621;-0.060207265;-0.180717949;-0.192993443;-0.340370588;-1.173836257;-1.00772;-1.117142857
16;S;Alpha;0.097603725;0.121463074;-0.006742519;-0.031245339;-0.040558824;0.00922037;0.043968208;0.044071504;0.032169835;0.29145679;0.249986547;0.409142602;0.294119919;0.33966886;0.354105263;0.27170276;0.077248366;-0.172694445;-0.216473194;-0.15515082;-0.160870588;-0.816935673;-0.86292;-0.160380952
17;S;Alpha;0.162369942;0.079368596;0.005548365;0.038668904;-0.076286765;0.013727778;-0.1606079;-0.168718192;0.070544994;0.105347051;0.349315396;0.341081996;0.328044715;0.269899123;0.255370614;0.01877707;-0.200976035;-0.354666667;-0.264564103;-0.180363934;-0.679229412;-0.527824561;-0.197;1
18;S;Alpha;0.121310854;0.123071856;0.265437022;0.259723341;0.151871732;0.131153704;0.096489403;-0.012698212;-0.261967047;-0.415131687;-0.26058296;-0.369723708;-0.076168699;-0.186234649;-0.225592105;-0.186681529;-0.197877996;-0.220995727;-0.404382285;-0.363390164;-0.333947059;-0.385415205;0.01132;0.378380952
19;S;Alpha;0.060748876;0.009274784;0.073167015;-0.007126771;-0.007870098;-0.053056481;-0.109129094;-0.058053628;-0.152043092;-0.047052126;-0.148724963;0.154657754;-0.021823171;-0.126730263;-0.156651316;-0.166031847;-0.085006536;-0.193982906;-0.165081585;-0.071370492;-0.004370588;0.107380117;0.01928;0.760190476
20;S;Alpha;0.164508028;0.194097139;0.071724426;0.103563013;0.158504085;0.148527778;0.336427746;0.275895899;0.46608872;0.3619369;0.158059791;0.103868093;0.086930894;0.075162281;-0.010532895;0.047658174;0.140250545;0.182525641;0.066251748;0.177790164;0.480564706;0.458432748;0.67756;1
1;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
2;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
3;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
4;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
5;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
6;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
7;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
8;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
9;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
10;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
11;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
12;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
13;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
14;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
15;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
16;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
17;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
18;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
19;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
20;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
